timestamp,input_time_ms,value
2025-11-26T07:40:46.643Z,598,tired
2025-11-26T07:40:47.259Z,549,tired
2025-11-26T07:40:47.790Z,466,tired
2025-11-26T07:40:47.919Z,68,tired
2025-11-26T07:40:48.075Z,70,tired
2025-11-26T07:40:48.186Z,43,tired
2025-11-26T07:40:48.340Z,81,tired
2025-11-26T07:40:48.486Z,71,tired
2025-11-26T07:40:48.586Z,42,tired
2025-11-26T07:40:48.735Z,84,tired
2025-11-26T07:40:48.867Z,64,tired
2025-11-26T07:40:49.039Z,106,tired
2025-11-26T07:40:49.197Z,86,tired
2025-11-26T07:40:49.342Z,82,tired
2025-11-26T07:40:49.527Z,105,tired
2025-11-26T07:40:49.657Z,66,tired
2025-11-26T07:40:49.819Z,77,tired
2025-11-26T07:40:50.012Z,123,tired
2025-11-26T07:40:50.347Z,263,tired
2025-11-26T07:40:50.510Z,70,tired
2025-11-26T07:40:50.627Z,56,tired
2025-11-26T07:40:50.784Z,94,tired
2025-11-26T07:40:50.922Z,79,tired
2025-11-26T07:40:51.070Z,92,tired
2025-11-26T07:40:51.204Z,73,tired
2025-11-26T07:40:51.336Z,72,tired
2025-11-26T07:40:51.586Z,161,tired
2025-11-26T07:40:51.776Z,130,tired
2025-11-26T07:40:58.081Z,16650,tired
2025-11-26T07:40:59.207Z,1071,too-fast
2025-11-26T07:40:59.906Z,651,ok
2025-11-26T07:41:14.886Z,8873,too-fast
2025-11-26T07:41:34.161Z,6006,too-fast
2025-11-26T07:41:35.501Z,1288,overloaded
2025-11-26T07:41:44.147Z,3127,tired
2025-11-26T07:42:19.881Z,1745,too-fast
2025-11-26T07:42:20.926Z,991,too-fast
2025-11-26T07:42:21.573Z,573,too-fast
2025-11-26T07:42:21.803Z,171,too-fast
2025-11-26T07:42:21.976Z,106,too-fast
2025-11-26T07:42:22.154Z,124,too-fast
2025-11-26T07:42:29.423Z,7168,too-fast
2025-11-26T07:42:30.003Z,500,too-fast
2025-11-26T07:42:30.251Z,193,too-fast
2025-11-26T07:42:30.755Z,418,too-fast
2025-11-26T07:42:31.473Z,661,too-fast
2025-11-26T07:42:35.309Z,20582,ok
2025-11-26T07:42:37.402Z,1963,ok
2025-11-26T07:42:38.192Z,711,ok
2025-11-26T07:42:39.252Z,926,ok
2025-11-26T07:42:39.780Z,404,ok
2025-11-26T07:42:49.067Z,9172,too-fast
2025-11-26T07:42:50.670Z,1463,ok
2025-11-26T07:42:50.776Z,9335,ok
2025-11-26T07:43:12.892Z,41357,tired
2025-11-26T07:43:13.230Z,251,tired
2025-11-26T07:43:13.658Z,367,tired
2025-11-26T07:43:13.900Z,174,tired
2025-11-26T07:43:14.078Z,89,tired
2025-11-26T07:43:16.549Z,2406,tired
2025-11-26T07:43:16.761Z,2598,tired
2025-11-26T07:43:34.597Z,6713,ok
2025-11-26T07:43:50.452Z,898,tired
2025-11-26T07:43:50.496Z,1061,tired
2025-11-26T07:43:50.688Z,138,tired
2025-11-26T07:43:50.893Z,113,tired
2025-11-26T07:43:51.105Z,91,tired
2025-11-26T07:43:51.317Z,25,tired
2025-11-26T07:43:51.500Z,141,tired
2025-11-26T07:43:51.710Z,305,tired
2025-11-26T07:43:51.919Z,462,tired
2025-11-26T07:43:52.096Z,75,tired
2025-11-26T07:43:52.283Z,140,tired
2025-11-26T07:43:52.516Z,150,tired
2025-11-26T07:43:52.875Z,168,tired
2025-11-26T07:43:52.976Z,361,tired
2025-11-26T07:43:53.158Z,125,tired
2025-11-26T07:43:53.326Z,114,tired
2025-11-26T07:43:53.542Z,137,tired
2025-11-26T07:43:53.691Z,80,tired
2025-11-26T07:44:12.090Z,119,overloaded
2025-11-26T07:44:12.235Z,50,overloaded
2025-11-26T07:44:12.339Z,38,overloaded
2025-11-26T07:44:12.499Z,70,overloaded
2025-11-26T07:44:12.617Z,52,overloaded
2025-11-26T07:44:12.720Z,48,overloaded
2025-11-26T07:44:12.861Z,84,overloaded
2025-11-26T07:44:13.001Z,55,overloaded
2025-11-26T07:44:13.197Z,69,overloaded
2025-11-26T07:44:13.285Z,17,overloaded
2025-11-26T07:44:13.466Z,91,overloaded
2025-11-26T07:44:13.587Z,42,overloaded
